ID,Name,Day,X,Y
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,77,0.6725696128627283,0.9182144524359458
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,78,0.7630952963387374,0.8906938249881043
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,79,0.6792412174348439,0.9476847321479419
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,80,0.5954861821205129,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,81,0.5124943650807642,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,82,0.4291364485089041,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,83,0.3465742033640742,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,84,0.26379206559512947,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,85,0.18130303550240656,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,86,0.09911001446671071,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,87,0.01721590765892743,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,88,-0.0643763769719447,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,89,-0.15739372612764396,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,90,-0.2645051414134568,0.9897981737852088
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,91,-0.35982511790064864,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,92,-0.4655389869947728,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,93,-0.5708192945076134,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,94,-0.6769036645681645,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,95,-0.782676157892398,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,96,-0.8878153852888556,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,97,-0.9847018270706098,1
54d0d0f2-16e0-42a0-9fff-79cfa7c4a157,Fireballs,98,-1,1
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,73,0.9973960702116031,0.9117442065572338
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,74,1,0.826771023653227
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,75,0.920800058064984,0.7488183294334951
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,76,0.9128697476109935,0.7410129062124189
cbd44c06-231a-4d1a-bb7d-4170b06e566a,Heartthrobs,77,0.904939437157003,0.7332074829913426
